# THALASSA - GRAVITY FIELD FILE
# Contains normalized spherical harmonics coefficients and physical constants.
# Body:                              Earth
# Model:                             GRIM5-S1 (static)
# Max degree:                        99
# Max order:                         95
# GM [km^3/s^2]:                     3.986004414498200E+05
# Ellipsoid semi-major axis [km]:    6.378136460000000E+03
# 1/flattening:                      2.982576500000000E+02
# Angular velocity [rad/s]:          0.729211585530660E-04
# Normalized spherical harmonics coefficients:
#l  m                      Cbar                     Sbar
15 15  -1.90143154627310007E-08 -4.67391276739479981E-09 
16  0   3.58876953616359983E-09  0.00000000000000000E+00 
16  1   3.13625458552439968E-08  2.85424910223600016E-08 
16  2  -3.09560620366740014E-08  3.23707990227069991E-08 
16  3  -2.98751504602540025E-08 -2.76507805251409984E-08 
16  4   3.44541352571960011E-08  4.88167864397770024E-08 
16  5  -7.42409984224110002E-09 -4.83272664574529962E-09 
16  6   1.12793205001000004E-08 -3.54076891232469982E-08 
16  7  -6.77837560917090033E-09 -1.14289939147500008E-08 
16  8  -2.26436399811210006E-08  6.13305502114679995E-09 
16  9  -2.11829104912680016E-08 -3.89403145662769988E-08 
16 10  -1.16778482922629993E-08  1.11446798509679994E-08 
16 11   1.90714541134670000E-08 -3.11895667206379992E-09 
16 12   1.95955232233949995E-08  6.76287738906329972E-09 
16 13   1.38070160072929993E-08  1.00000814838129995E-09 
16 14  -1.93605915117159985E-08 -3.86488176117220019E-08 
16 15  -1.43738316387820002E-08 -3.28465935737919990E-08 
16 16  -3.85578781667739989E-08  2.92217199647689991E-09 
17  0   1.92166443981390009E-08  0.00000000000000000E+00 
17  1  -2.12752954414809985E-08 -2.99091901711880000E-08 
17  2  -1.97995910727830007E-08 -3.36167716876759997E-10 
17  3   6.64614568321920004E-09  1.67210235919209995E-09 
17  4   7.03646291433630024E-09  2.79903391610920016E-08 
17  5  -1.65067044426670003E-08  5.56179738494319978E-09 
17  6  -1.30211009473539993E-08 -2.77717297114979994E-08 
17  7   2.66505972604200005E-08 -5.00565683198769971E-09 
17  8   3.67980473713360030E-08  1.36366189449870010E-09 
17  9   3.45832797261589980E-09 -2.84893456225080002E-08 
17 10  -4.42596007838169995E-09  1.85433460219510016E-08 
17 11  -1.54547023814980008E-08  1.15093994020890006E-08 
17 12   2.89551306798849996E-08  2.06258352072040013E-08 
17 13   1.65114773018879997E-08  2.01088379989629996E-08 
17 14  -1.43321764549890006E-08  1.16242816458910002E-08 
17 15   5.54871990223609979E-09  5.27503099961339981E-09 
17 16  -3.04378838712349980E-08  3.49998706215119998E-09 
17 17  -3.46364451965800015E-08 -1.95764094670890006E-08 
18  0  -5.52700408237509964E-10  0.00000000000000000E+00 
18  1   2.02228418138579985E-09 -3.32257365006200012E-08 
18  2   1.88137327496409992E-08  5.56233284914020018E-09 
18  3  -1.13076064311679997E-08 -9.50057963614629905E-10 
18  4   6.35262146791169948E-08 -1.66082478871590001E-09 
18  5   4.15330675855879977E-11  2.80032048816919984E-08 
18  6   1.84167675430139997E-08 -1.10764880240080002E-08 
18  7   3.70480401915490016E-09  1.29649523131659992E-08 
18  8   3.22875473144980018E-08  3.33812017554679999E-09 
18  9  -2.14793036263919989E-08  3.40888234144670001E-08 
18 10   5.80499448982759961E-09 -2.71326777955299999E-09 
18 11  -6.95711493948990032E-09  1.18361462507299997E-09 
18 12  -3.00417017977809982E-08 -1.63962590721640008E-08 
18 13  -6.21583423098170007E-09 -3.49283536604639981E-08 
18 14  -8.34448499214940009E-09 -1.28207237403430004E-08 
18 15  -4.03257544126580018E-08 -2.04288106154299985E-08 
18 16   1.00828071094969993E-08  6.37237330403489997E-09 
18 17   3.50785007416870009E-09  4.23607973988549979E-09 
18 18   2.58912367983589988E-09 -1.06888847449559993E-08 
19  0  -3.94100116955770030E-09  0.00000000000000000E+00 
19  1  -1.16120788195220004E-08  1.48069699535910001E-09 
19  2   3.64342190879810021E-08  4.20548107788249962E-09 
19  3  -5.86842449454299983E-09  5.75167834568260030E-09 
19  4   1.87340425018870003E-08 -9.96088963973289963E-09 
19  5   8.77995678447349995E-09  3.12029704190640005E-08 
19  6  -1.39197799471109998E-09  1.69195317307660001E-08 
19  7   4.97692853316990041E-09 -6.78258280143450037E-09 
19  8   3.30200007228870014E-08 -6.71549191005539997E-09 
19  9   2.23300007914479987E-09  8.31266705739329925E-09 
19 10  -3.29356283654169999E-08 -9.06768088799700024E-09 
19 11   1.57132296210079989E-08  9.90165908251399952E-09 
19 12  -2.01427435578559987E-09  9.84038105556810075E-09 
19 13  -7.60146002437610020E-09 -2.85907312851219984E-08 
19 14  -4.75445881359490007E-09 -1.27841577079770001E-08 
19 15  -1.75431933100190009E-08 -1.41257451353760002E-08 
19 16  -2.17146704899820011E-08 -7.07662613242460009E-09 
19 17   2.89587849169790011E-08 -1.49725976403099988E-08 
19 18   3.52186744283739970E-08 -9.70245519881659999E-09 
19 19  -2.94591729711840018E-09  5.15038052803440032E-09 
20  0   2.34281713540419988E-08  0.00000000000000000E+00 
20  1   7.64026198481460018E-09  1.41853008794949996E-09 
20  2   1.95860160987229996E-08  2.10925709340060000E-08 
20  3   1.28247006933940004E-09  3.75248516499600009E-08 
20  4  -4.70144351577899971E-09 -1.89812569261030016E-08 
20  5  -2.28086155631219995E-09 -1.06066919134400005E-08 
20  6   4.60302671037450023E-09 -8.21776788013769942E-09 
20  7  -1.68083773276429998E-08 -7.73234282159219937E-09 
20  8   2.42961840038559979E-09  2.02671614619140013E-09 
20  9   2.00533858307410010E-08 -3.74041758867979990E-09 
20 10  -3.29963781505899985E-08 -7.92462678784139954E-09 
